int_player_id,str_player_name,str_positions,dt_date_of_birth,int_height,int_weight,int_overall_rating,int_potential_rating,str_best_position,int_best_overall_rating,int_value,int_wage,str_player_image_url,int_team_id,str_nationality
1,Lionel Andrés Messi Cuccittini,"RW, ST, CF",1987-06-24,170,72,93,93,RW,93,103500000,560000,https://cdn.sofifa.com/players/158/023/21_120.png,5.0,Argentina
2,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",1985-02-05,187,83,92,92,ST,92,63000000,220000,https://cdn.sofifa.com/players/020/801/21_120.png,6.0,Portugal
3,Jan Oblak,GK,1993-01-07,188,87,91,93,GK,91,120000000,125000,https://cdn.sofifa.com/players/200/389/21_120.png,8.0,Slovenia
4,Kevin De Bruyne,"CAM, CM",1991-06-28,181,70,91,91,CAM,91,129000000,370000,https://cdn.sofifa.com/players/192/985/21_120.png,2.0,Belgium
5,Neymar da Silva Santos Júnior,"LW, CAM",1992-02-05,175,68,91,91,LW,91,132000000,270000,https://cdn.sofifa.com/players/190/871/21_120.png,7.0,Brazil
6,Robert Lewandowski,ST,1988-08-21,184,80,91,91,ST,91,111000000,240000,https://cdn.sofifa.com/players/188/545/21_120.png,4.0,Poland
7,Kylian Mbappé Lottin,"ST, LW, RW",1998-12-20,178,73,90,95,ST,91,185500000,160000,https://cdn.sofifa.com/players/231/747/21_120.png,7.0,France
8,Alisson Ramsés Becker,GK,1992-10-02,191,91,90,91,GK,90,102000000,160000,https://cdn.sofifa.com/players/212/831/21_120.png,1.0,Brazil
9,Mohamed Salah Ghaly,RW,1992-06-15,175,71,90,90,RW,90,120500000,250000,https://cdn.sofifa.com/players/209/331/21_120.png,1.0,Egypt
10,Sadio Mané,LW,1992-04-10,175,69,90,90,LW,90,120500000,250000,https://cdn.sofifa.com/players/208/722/21_120.png,1.0,Senegal
11,Virgil van Dijk,CB,1991-07-08,193,92,90,91,CB,90,113000000,210000,https://cdn.sofifa.com/players/203/376/21_120.png,1.0,Netherlands
12,Marc-André ter Stegen,GK,1992-04-30,187,85,90,93,GK,90,110000000,260000,https://cdn.sofifa.com/players/192/448/21_120.png,5.0,Germany
13,Carlos Henrique Venancio Casimiro,CDM,1992-02-23,185,84,89,89,CDM,89,90500000,310000,https://cdn.sofifa.com/players/200/145/21_120.png,3.0,Brazil
14,Thibaut Courtois,GK,1992-05-11,199,96,89,90,GK,89,82000000,250000,https://cdn.sofifa.com/players/192/119/21_120.png,3.0,Belgium
15,Manuel Neuer,GK,1986-03-27,193,92,89,89,GK,89,17500000,130000,https://cdn.sofifa.com/players/167/495/21_120.png,4.0,Germany
16,Karim Benzema,"CF, ST",1987-12-19,185,81,89,89,CF,89,83500000,350000,https://cdn.sofifa.com/players/165/153/21_120.png,3.0,France
17,Sergio Ramos García,CB,1986-03-30,184,82,89,89,CB,89,33500000,300000,https://cdn.sofifa.com/players/155/862/21_120.png,3.0,Spain
18,Sergio Leonel Agüero del Castillo,ST,1988-06-02,173,70,89,89,ST,89,83500000,300000,https://cdn.sofifa.com/players/153/079/21_120.png,2.0,Argentina
19,N'Golo Kanté,"CDM, CM",1991-03-29,168,70,88,88,CDM,88,78000000,190000,https://cdn.sofifa.com/players/215/914/21_120.png,9.0,France
20,Joshua Kimmich,"CDM, RB",1995-02-08,176,73,88,90,CDM,88,103000000,145000,https://cdn.sofifa.com/players/212/622/21_120.png,4.0,Germany
21,Paulo Bruno Exequiel Dybala,"CF, CAM",1993-11-15,177,75,88,89,CAM,89,109000000,190000,https://cdn.sofifa.com/players/211/110/21_120.png,6.0,Argentina
22,Ederson Santana de Moraes,GK,1993-08-17,188,86,88,91,GK,88,92000000,195000,https://cdn.sofifa.com/players/210/257/21_120.png,2.0,Brazil
23,Raheem Shaquille Sterling,"LW, RW",1994-12-08,170,69,88,90,LW,88,114500000,270000,https://cdn.sofifa.com/players/202/652/21_120.png,2.0,England
24,Harry Kane,ST,1993-07-28,188,89,88,89,ST,88,109000000,220000,https://cdn.sofifa.com/players/202/126/21_120.png,11.0,England
25,Kalidou Koulibaly,CB,1991-06-20,187,89,88,88,CB,88,76500000,140000,https://cdn.sofifa.com/players/201/024/21_120.png,17.0,Senegal
26,손흥민 孙兴慜,"LM, CF",1992-07-08,183,78,88,88,LM,88,97500000,200000,https://cdn.sofifa.com/players/200/104/21_120.png,11.0,Korea Republic
27,Eden Hazard,"LW, ST",1991-01-07,175,74,88,88,LW,88,89500000,350000,https://cdn.sofifa.com/players/183/277/21_120.png,3.0,Belgium
28,Toni Kroos,CM,1990-01-04,183,76,88,88,CM,88,87500000,310000,https://cdn.sofifa.com/players/182/521/21_120.png,3.0,Germany
29,Samir Handanovič,GK,1984-07-14,193,92,88,88,GK,88,10000000,100000,https://cdn.sofifa.com/players/162/835/21_120.png,13.0,Slovenia
30,Jadon Sancho,"RM, CF, CAM",2000-03-25,180,76,87,93,CAM,89,124000000,82000,https://cdn.sofifa.com/players/233/049/21_120.png,12.0,England
31,Trent Alexander-Arnold,RB,1998-10-07,180,69,87,92,RB,87,114000000,110000,https://cdn.sofifa.com/players/231/281/21_120.png,1.0,England
32,Bernardo Mota Veiga de Carvalho e Silva,"RW, CAM, CM",1994-08-10,173,64,87,88,RW,87,95000000,230000,https://cdn.sofifa.com/players/218/667/21_120.png,2.0,Portugal
33,Andrew Robertson,LB,1994-03-11,178,64,87,89,LB,87,90500000,155000,https://cdn.sofifa.com/players/216/267/21_120.png,1.0,Scotland
34,Aymeric Laporte,CB,1994-05-27,189,85,87,90,CB,88,92500000,200000,https://cdn.sofifa.com/players/212/218/21_120.png,2.0,France
35,Bruno Miguel Borges Fernandes,"CAM, CM",1994-09-08,179,69,87,90,CAM,88,105500000,195000,https://cdn.sofifa.com/players/212/198/21_120.png,10.0,Portugal
36,Fábio Henrique Tavares,CDM,1993-10-23,188,78,87,89,CDM,87,88500000,155000,https://cdn.sofifa.com/players/209/499/21_120.png,1.0,Brazil
37,Roberto Firmino Barbosa de Oliveira,CF,1991-10-02,181,76,87,87,CF,87,81500000,190000,https://cdn.sofifa.com/players/201/942/21_120.png,1.0,Brazil
38,Antoine Griezmann,"ST, LW, RW",1991-03-21,176,73,87,87,ST,87,79500000,290000,https://cdn.sofifa.com/players/194/765/21_120.png,5.0,France
39,Keylor Navas Gamboa,GK,1986-12-15,185,80,87,87,GK,87,26000000,110000,https://cdn.sofifa.com/players/193/041/21_120.png,7.0,Costa Rica
40,Ciro Immobile,ST,1990-02-20,185,85,87,87,ST,87,78000000,125000,https://cdn.sofifa.com/players/192/387/21_120.png,16.0,Italy
41,Sergio Busquets i Burgos,"CDM, CM",1988-07-16,189,76,87,87,CDM,87,56000000,240000,https://cdn.sofifa.com/players/189/511/21_120.png,5.0,Spain
42,Pierre-Emerick Aubameyang,"ST, LW",1989-06-18,187,80,87,87,ST,87,67500000,170000,https://cdn.sofifa.com/players/188/567/21_120.png,14.0,Gabon
43,Wojciech Szczęsny,GK,1990-04-18,195,90,87,87,GK,87,53000000,105000,https://cdn.sofifa.com/players/186/153/21_120.png,6.0,Poland
44,Ángel Fabián Di María Hernández,"RW, LW",1988-02-14,180,69,87,87,RW,87,63000000,160000,https://cdn.sofifa.com/players/183/898/21_120.png,7.0,Argentina
45,Luka Modrić,CM,1985-09-09,172,66,87,87,CM,87,36500000,260000,https://cdn.sofifa.com/players/177/003/21_120.png,3.0,Croatia
46,Luis Alberto Suárez Díaz,ST,1987-01-24,182,83,87,87,ST,87,51000000,115000,https://cdn.sofifa.com/players/176/580/21_120.png,8.0,Uruguay
47,Hugo Lloris,GK,1986-12-26,188,82,87,87,GK,87,26000000,125000,https://cdn.sofifa.com/players/167/948/21_120.png,11.0,France
